lat,lon,flood_height,elevation,precipitation,in_zone,hazard_code,hazard_level,proximity_m
14.60448455,121.1053666,3.0,11.6573019028,12.0,False,1,Low (0–0.5m),0.20875900413103654
14.55853416,121.0422729,3.0,19.0097103119,8.0,False,1,Low (0–0.5m),10.342135218020742
14.55556422,121.0420154,3.0,20.6102409363,8.0,True,2,Medium (>0.5–1.5m),0.0
14.55689343,121.0411786,3.0,19.2373046875,8.0,True,2,Medium (>0.5–1.5m),0.0
14.55586537,121.0411035,3.0,19.4948425293,8.0,True,2,Medium (>0.5–1.5m),0.0
14.5563119,121.0407387,3.0,19.2373046875,8.0,True,2,Medium (>0.5–1.5m),0.0
14.55881454,121.0415648,3.0,19.0097103119,8.0,False,1,Low (0–0.5m),7.395374088628803
14.55884569,121.04017,3.0,19.4267253876,8.0,False,1,Low (0–0.5m),3.4421395190325748
14.63823121,121.1325798,3.0,48.5658531189,16.0,False,1,Low (0–0.5m),329.6683011682585
14.56686502,121.0989199,3.0,5.40892934799,11.0,False,2,Medium (>0.5–1.5m),234.5981227821863
14.55820186,121.0408138,3.0,19.3355617523,8.0,True,2,Medium (>0.5–1.5m),0.0
14.55674804,121.0407494,3.0,19.2373046875,8.0,False,2,Medium (>0.5–1.5m),3.861506759445006
14.62327609,121.1145303,3.0,13.3233671188,14.0,False,2,Medium (>0.5–1.5m),1079.246712878774
14.64076528,121.071159,3.0,54.9987564087,10.0,False,2,Medium (>0.5–1.5m),2.8485376584928086
14.60160407,121.1228452,3.0,14.1029520035,14.0,False,2,Medium (>0.5–1.5m),1573.7777165390473
14.665548,121.045967,3.0,45.5853042603,9.0,False,2,Medium (>0.5–1.5m),126.09277211085488
14.617305,121.041695,3.0,34.8786087036,9.0,False,1,Low (0–0.5m),121.91926219796052
14.597216,121.039185,3.0,23.6403713226,8.0,True,2,Medium (>0.5–1.5m),0.0
14.534486,121.016167,3.0,9.4573764801,7.0,True,1,Low (0–0.5m),0.0
14.539097,121.015717,3.0,10.5748128891,7.0,True,1,Low (0–0.5m),0.0
14.613651,121.023849,3.0,14.2267284393,8.0,True,3,High (>1.5m),0.0
14.57065,121.014793,3.0,8.22089862823,7.0,False,1,Low (0–0.5m),9.833110136688822
14.571611,121.01432,3.0,7.91145038605,7.0,False,1,Low (0–0.5m),18.00398823092691
14.572068,121.013832,3.0,8.07264900208,7.0,True,1,Low (0–0.5m),0.0
14.55239,121.099525,3.0,6.33387851715,11.0,False,1,Low (0–0.5m),3.1251882447700314
14.355784,121.065559,3.0,6.78709840775,12.0,False,1,Low (0–0.5m),2729.580113063657
14.349943,121.068497,3.0,8.59047794342,13.0,False,1,Low (0–0.5m),3475.9056215512196
14.350712,121.068199,3.0,8.21116447449,13.0,False,1,Low (0–0.5m),3381.757838703559
14.666493,121.038048,3.0,40.5082359314,9.0,False,1,Low (0–0.5m),10.799067916958842
14.575879,121.000221,3.0,7.06804656982,8.0,True,2,Medium (>0.5–1.5m),0.0
14.553979,120.997131,3.0,9.3103017807,7.0,True,2,Medium (>0.5–1.5m),0.0
14.671247,121.05587,3.0,49.5581855774,10.0,True,3,High (>1.5m),0.0
14.573283,121.04393,3.0,25.2576465607,8.0,False,1,Low (0–0.5m),67.80023905398902
14.640891,121.074059,3.0,58.6776847839,10.0,True,2,Medium (>0.5–1.5m),0.0
14.41074,121.006165,3.0,43.6089515686,8.0,False,1,Low (0–0.5m),162.8232138258136
14.789655,120.942825,3.0,9.41607284546,12.0,False,2,Medium (>0.5–1.5m),6050.782266812766
14.568725,121.031708,3.0,9.33285140991,8.0,False,2,Medium (>0.5–1.5m),20.98812692917601
14.591558,120.978699,3.0,10.0517225266,8.0,True,1,Low (0–0.5m),0.0
14.548029,121.038956,3.0,29.3023147583,8.0,False,1,Low (0–0.5m),31.75376694848787
14.560285,121.043465,3.0,19.6483268738,8.0,True,2,Medium (>0.5–1.5m),0.0
14.56832,121.019272,3.0,9.87849998474,8.0,False,1,Low (0–0.5m),5.642243016440663
14.542462,121.082916,3.0,6.17946863174,10.0,False,1,Low (0–0.5m),1.507019553682971
14.473245,120.984192,3.0,9.04429912567,6.0,True,1,Low (0–0.5m),0.0
14.582545,121.092896,3.0,7.74484777451,11.0,True,2,Medium (>0.5–1.5m),0.0
14.593717,121.050453,3.0,35.7676544189,9.0,False,1,Low (0–0.5m),32.583806100919794
14.562982,121.141777,3.0,21.2262821198,0.0,False,2,Medium (>0.5–1.5m),4033.8660659763304
14.61985,121.097992,3.0,14.4290065765,12.0,True,1,Low (0–0.5m),0.0
14.619454,121.097969,3.0,14.4290065765,12.0,True,1,Low (0–0.5m),0.0
14.654821,121.065636,3.0,66.338508606,10.0,True,1,Low (0–0.5m),0.0
14.60466,120.978386,3.0,13.8517932892,8.0,False,1,Low (0–0.5m),10.82166102862274
14.61199,120.966164,3.0,7.48667240143,8.0,False,1,Low (0–0.5m),25.35098265173157
14.621956,121.087013,3.0,11.8051633835,11.0,False,1,Low (0–0.5m),8.351833045689144
14.666581,121.104134,3.0,15.8481779099,14.0,False,1,Low (0–0.5m),29.671428354366935
14.660063,121.047577,3.0,48.606098175,9.0,False,1,Low (0–0.5m),11.675069699996824
14.660405,121.044502,3.0,46.5843849182,9.0,True,2,Medium (>0.5–1.5m),0.0
14.659134,121.04631,3.0,47.7832946777,9.0,True,2,Medium (>0.5–1.5m),0.0
14.56265,121.024361,3.0,26.7197551727,7.0,True,1,Low (0–0.5m),0.0
14.59392,121.018372,3.0,10.3282928467,8.0,True,1,Low (0–0.5m),0.0
14.699507,121.056007,3.0,56.171043396,12.0,True,1,Low (0–0.5m),0.0
14.597019,121.031807,3.0,12.6367721558,8.0,False,1,Low (0–0.5m),1.897766573132988
14.641846,121.109375,3.0,15.0572099686,14.0,True,2,Medium (>0.5–1.5m),0.0
14.642033,121.110619,3.0,15.9734306335,14.0,True,2,Medium (>0.5–1.5m),0.0
14.627406,121.079666,3.0,14.2039241791,11.0,True,2,Medium (>0.5–1.5m),0.0
14.697649,121.067642,3.0,60.458770752,13.0,True,2,Medium (>0.5–1.5m),0.0
14.699242,121.06414,3.0,59.5170593262,12.0,False,1,Low (0–0.5m),14.654515719493386
14.636173,121.127266,3.0,30.247215271,16.0,True,1,Low (0–0.5m),0.0
14.541195,121.018356,3.0,12.9511346817,7.0,True,3,High (>1.5m),0.0
14.543085,121.107597,3.0,5.84125518799,12.0,False,1,Low (0–0.5m),125.71536159505175
14.598389,121.078819,3.0,19.5502147675,10.0,False,1,Low (0–0.5m),11.19237601006276
14.641968,121.112846,3.0,16.9191017151,14.0,True,2,Medium (>0.5–1.5m),0.0
14.455044,120.96711,3.0,8.15688991547,6.0,False,3,High (>1.5m),339.6786852761684
14.632389,121.047813,3.0,45.8499717712,9.0,True,2,Medium (>0.5–1.5m),0.0
14.658501,121.035088,3.0,41.5723876953,9.0,True,1,Low (0–0.5m),0.0
14.594216,121.020393,3.0,9.96934223175,8.0,True,1,Low (0–0.5m),0.0
14.592887,121.018265,3.0,10.005437851,8.0,True,1,Low (0–0.5m),0.0
14.661267,121.044334,3.0,45.837097168,9.0,True,1,Low (0–0.5m),0.0
14.410065,121.051376,3.0,4.59325218201,10.0,False,1,Low (0–0.5m),30.978612699258917
14.410059,121.051361,3.0,4.59325218201,10.0,False,1,Low (0–0.5m),30.053361228200345
14.659181,121.034081,3.0,41.1172409058,9.0,True,2,Medium (>0.5–1.5m),0.0
14.618484,121.083931,3.0,11.2931413651,11.0,True,1,Low (0–0.5m),0.0
14.555869,121.073036,3.0,7.82617425919,9.0,False,1,Low (0–0.5m),27.824638021073874
14.561248,121.094307,3.0,5.88348293304,11.0,True,1,Low (0–0.5m),0.0
14.563187,121.004684,3.0,6.23652505875,7.0,True,1,Low (0–0.5m),0.0
14.566043,121.003136,3.0,7.43143510818,7.0,False,1,Low (0–0.5m),47.10745279587758
14.578709,120.99836,3.0,7.36571645737,8.0,True,2,Medium (>0.5–1.5m),0.0
14.581027,120.999161,3.0,6.93613433838,8.0,True,2,Medium (>0.5–1.5m),0.0
14.581149,121.000252,3.0,6.64753723145,8.0,True,2,Medium (>0.5–1.5m),0.0
14.583578,121.002541,3.0,5.96806907654,8.0,False,1,Low (0–0.5m),1.5153012566405923
14.577514,121.028717,3.0,7.63435125351,8.0,True,2,Medium (>0.5–1.5m),0.0
14.66901,121.110535,3.0,19.0136108398,15.0,True,1,Low (0–0.5m),0.0
